Japan, Life expectancy at birth (period, 1x10)	Last modified: 21 Nov 2020;  Methods Protocol: v6 (2017)

  Year       Female    Male     Total
1947-1949     57.30    53.63    55.46
1950-1959     66.07    62.13    64.09
1960-1969     72.70    67.59    70.12
1970-1979     76.80    71.53    74.19
1980-1989     80.44    74.79    77.69
1990-1999     83.01    76.64    79.91
2000-2009     85.50    78.65    82.16
2010-2019     86.84    80.52    83.74
