country,year,sex,list,agf,cause,total,d0,d1,d5,d10,d15,d20,d25,d30,d35,d40,d45,d50,d55,d60,d65,d70,d75,d80,d85p,d85,d90p,d90,d95p,d95,d100p
EST,1955,1,interm,1,24,0.481594,0.00179,0.027354,0.023037,0.000956,0.002697,0.002488,0.042165,0.016848,0.013453,0.011239,0.019582,0.03502,0.038127,0.041459,0.048487,0.051327,0.049268,0.034857,0.02144,.,.,.,.,.,.
EST,1955,1,interm,1,25,31.74727,0,0,0,0,0,0,0,0,0,0.08085,0.140868,0.197929,0.21549,5.225623,6.111471,6.46939,6.2099,4.393459,2.702289,.,.,.,.,.,.
EST,1955,1,interm,1,26,2.545064,0,0,0,0,0,0,0,0,0,0.116773,0.203456,0.285871,0.311235,0.273395,0.319741,0.338466,0.32489,0.229858,0.141379,.,.,.,.,.,.
EST,1955,1,interm,1,27,21.48196,0,0,0,0,0,0,0,0,0,0.549206,0.956899,1.344509,1.463804,2.883476,3.372285,3.569782,3.426596,2.424292,1.491112,.,.,.,.,.,.
EST,1955,1,interm,1,28,22.10077,0,0,0,0,0,0,0,0,0,0.671251,1.169543,1.643288,1.789095,2.826378,3.305506,3.499093,3.358742,2.376287,1.461585,.,.,.,.,.,.
EST,1955,1,interm,1,29,29.56676,0,1.662656,0.58378,0,0.386283,0.643099,0.539281,0.642708,0.513207,1.133107,1.974249,2.273252,2.474955,2.811695,3.288335,3.480916,3.341296,2.363943,1.453993,.,.,.,.,.,.
EST,1955,1,interm,1,30,22.63492,0.084115,1.28562,1.082741,0.044919,0.126741,0.116974,1.981756,0.791833,0.632284,0.52825,0.920385,1.645938,1.791981,1.948579,2.278902,2.412367,2.315604,1.638273,1.007656,.,.,.,.,.,.
EST,1955,1,interm,1,31,23.35042,0.145912,1.413548,1.08339,0.07792,0.219858,0.264633,2.557325,0.973701,0.777507,0.649576,1.131779,2.266828,2.467962,1.565478,1.830855,1.938081,1.860343,1.316179,0.809546,.,.,.,.,.,.
EST,1955,1,interm,1,32,1.075156,0,0.06046,0.021229,0,0.014046,0.023386,0.019611,0.023371,0.018662,0.041204,0.071791,0.082664,0.089999,0.102244,0.119576,0.126578,0.121502,0.085961,0.052872,.,.,.,.,.,.
EST,1955,1,interm,1,33,56.75812,0,2.192402,0.83218,0,0.531695,1.285972,1.304221,1.565339,1.249935,2.022811,3.524407,4.681121,5.096474,5.453955,6.37851,6.752068,6.481237,4.58543,2.820367,.,.,.,.,.,.
