Greece, Life expectancy at birth (period, 1x5)	Last modified: 27 Jan 2020;  Methods Protocol: v6 (2017)

  Year       Female    Male     Total
1981-1984     78.23    73.45    75.84
1985-1989     78.92    73.98    76.45
1990-1994     79.93    74.76    77.34
1995-1999     80.71    75.23    77.95
2000-2004     81.67    76.12    78.87
2005-2009     82.71    77.06    79.86
2010-2014     83.51    78.13    80.82
2015-2017     83.67    78.51    81.10
