Slovenia, Life expectancy at birth (period, 1x5)	Last modified: 06 Dec 2018;  Methods Protocol: v6 (2017)

  Year       Female    Male     Total
1983-1984     75.08    67.00    71.09
1985-1989     76.44    68.38    72.49
1990-1994     77.57    69.60    73.67
1995-1999     78.90    71.16    75.12
2000-2004     80.31    72.60    76.53
2005-2009     81.79    74.82    78.38
2010-2014     83.06    76.97    80.08
2015-2017     83.68    77.86    80.81
